step,epoch,step_loss,loss_data,loss_haslach,loss_pako,loss_ic,loss_bc_base,loss_bc_tip
0,1,3.5712475776672363,0.00017663801554590464,3.5567986965179443,3.5444995774014387e-06,0,0.0,0.001426868373528123
1,1,137.32766723632812,0.008198408409953117,137.2845458984375,8.21618323243456e-06,0,0.0,0.003490772796794772
2,1,33.39411544799805,0.001704401453025639,33.38772964477539,6.515214863611618e-06,0,0.0,0.0004671448841691017
3,1,4.423717021942139,0.0002330845600226894,4.39497709274292,3.1944196052791085e-06,0,0.0,0.002850363729521632
4,1,20.430391311645508,0.001113097183406353,20.343273162841797,1.8453051779943053e-06,0,0.0,0.008600296452641487
5,1,10.986929893493652,0.0005942953866906464,10.906998634338379,1.5312366485886741e-06,0,0.0,0.00793347880244255
6,1,1.6318213939666748,9.608343680156395e-05,1.572957992553711,1.6751675957493717e-06,0,0.0,0.005876567680388689
7,1,1.367197036743164,6.144035432953387e-05,1.3216058015823364,1.7816844319895608e-06,0,0.0,0.0045528048649430275
8,1,2.5529401302337646,0.00010825287608895451,2.512622356414795,1.3848202797817066e-06,0,0.0,0.00402079988270998
9,1,0.9007096886634827,3.233007009839639e-05,0.8604956865310669,9.639409199735383e-07,0,0.0,0.004018076695501804
10,1,0.5441256165504456,3.3430707844672725e-05,0.4976375997066498,6.531547569466056e-07,0,0.0,0.004645390901714563
11,1,0.9966204762458801,5.969746780465357e-05,0.9416515827178955,4.87210854771547e-07,0,0.0,0.0054908692836761475
12,1,0.7714998722076416,4.3994201405439526e-05,0.7035650610923767,3.938605175335397e-07,0,0.0,0.006789038423448801
13,1,0.16849836707115173,5.799416612717323e-06,0.07977184653282166,3.2925927939686517e-07,0,0.0,0.008872040547430515
14,1,0.8161590695381165,3.282202305854298e-05,0.6978845596313477,2.987119671615801e-07,0,0.0,0.011824136599898338
15,1,1.0760772228240967,3.732674304046668e-05,0.9267021417617798,2.4748115379225055e-07,0,0.0,0.014933750033378601
16,1,0.8262423276901245,1.6928206605371088e-05,0.6432397961616516,1.855472504530553e-07,0,0.0,0.018298540264368057
17,1,0.6928194761276245,1.0756810297607444e-05,0.46858179569244385,1.4036196205324813e-07,0,0.0,0.022422678768634796
18,1,0.3981286883354187,5.694088486052351e-06,0.119144968688488,1.1874957550617182e-07,0,0.0,0.02789779007434845
19,1,1.0921491384506226,5.2515762945404276e-05,0.7427289485931396,1.0438724018513312e-07,0,0.0,0.034936752170324326
20,1,1.569753646850586,7.979541987879202e-05,1.1488430500030518,8.852848054630158e-08,0,0.0,0.04208306595683098
21,1,1.2590714693069458,6.076399949961342e-05,0.7670656442642212,7.722683648125894e-08,0,0.0,0.04919450357556343
22,1,1.1980217695236206,4.643314241548069e-05,0.6347525119781494,6.979496447456768e-08,0,0.0,0.05632227659225464
