step,epoch,step_loss,loss_data,loss_haslach,loss_pako,loss_bc_base,loss_bc_tip
,28,0.12717236572169327,2.65614227759059e-07,0.012717110076000467,1.0017582379617806e-06,0.0,0.0
,29,0.10045123342133593,2.2731748133608676e-07,0.010044997517252342,1.0265459540192978e-06,0.0,0.0
,30,0.1200448497320076,2.632248335499021e-07,0.012004384036744682,7.454619360203197e-07,0.0,0.0
,31,0.11995323926137644,2.6122310072373976e-07,0.01199517975394656,1.1806054977370196e-06,0.0,0.0
,32,0.11950910626444966,2.522971546170538e-07,0.011950773689022753,1.1173295197153266e-06,0.0,0.0
,33,0.106641009664163,2.344142602428434e-07,0.010663978383527138,9.902908833225865e-07,0.0,0.0
,34,0.1334835248964282,2.677232997871926e-07,0.013348207414123863,1.181116717674513e-06,0.0,0.0
,35,0.12766086607181934,2.6885364260431646e-07,0.012765996327034372,6.350498418328243e-07,0.0,0.0
,36,0.1349056944710901,2.6939435234574203e-07,0.013490422003087588,1.2060650881551283e-06,0.0,0.0
,37,0.14037128769708943,2.9318388060417534e-07,0.014037021212509444,7.802816604396412e-07,0.0,0.0
,38,0.13742485681590552,2.7612953291011876e-07,0.013742284911940033,1.7288608135856976e-06,0.0,0.0
,39,0.1910896178548825,3.6316989757700926e-07,0.0191088607281079,6.475704463326793e-07,0.0,0.0
,40,0.3743641806307659,5.812959845696852e-07,0.03743601154997883,3.4802772429998184e-06,0.0,0.0
,41,0.15934377582694764,3.02107491685355e-07,0.015934217904249193,1.2932799295128917e-06,0.0,0.0
,42,0.12734295973070403,2.5972235918825247e-07,0.012734217355327928,5.220720204590635e-07,0.0,0.0
,43,0.12494209591006808,2.63956441903801e-07,0.012494159025043548,2.412182994504519e-07,0.0,0.0
,44,0.08875997367043638,2.1876713758750556e-07,0.008875857191320896,1.1842153736196791e-06,0.0,0.0
,45,0.08725191875546102,2.213440054443794e-07,0.008725146641542806,2.3209747405772417e-07,0.0,0.0
,46,0.0933835242013447,2.2910727213998339e-07,0.009338228583146702,1.0099754335968213e-06,0.0,0.0
,47,0.09889074120204895,2.3766583717721446e-07,0.009889029644691618,2.070907717843795e-07,0.0,0.0
,48,0.1040417312644422,2.4270603331544295e-07,0.01040406878106296,8.022662092699306e-07,0.0,0.0
,49,0.11955146443415288,2.6870489760355554e-07,0.011955082131621567,3.742210332369211e-07,0.0,0.0
,50,0.18333870224394075,3.382433630688686e-07,0.01833376102049722,7.501448149582756e-07,0.0,0.0
,51,0.21487870958464783,4.024561087057066e-07,0.021487586330184313,2.440361637781052e-06,0.0,0.0
,52,0.12778372065707572,2.6193430497922775e-07,0.012778169337298095,1.7659732023389552e-06,0.0,0.0
,53,0.12298938417570071,2.8016338970093813e-07,0.012298550413907634,3.599586635516516e-06,0.0,0.0
,54,0.09780065082479268,2.3320165400075864e-07,0.009779976070858539,6.543056925067958e-07,0.0,0.0
,55,0.12511828222270766,2.7587958022323725e-07,0.012511717196348257,8.337044415895889e-07,0.0,0.0
,56,0.0783742003129828,2.16493554409114e-07,0.007837371357871348,2.703506363843644e-07,0.0,0.0
,57,0.08879469447769224,2.3793523331594458e-07,0.00887938626401592,5.961684114197396e-07,0.0,0.0
,58,0.09738436257699505,2.4657248486548156e-07,0.009738371431303676,3.988816770572612e-07,0.0,0.0
,59,0.0940053666383028,2.4142483766809165e-07,0.00940040800254792,1.0467270293901266e-06,0.0,0.0
,60,0.10135223786579445,2.6187163784552323e-07,0.010135173891612795,2.3759339178752726e-07,0.0,0.0
,61,0.1185927866716429,2.741265810457527e-07,0.011859164255570747,8.702151257011792e-07,0.0,0.0
,62,0.1701664716625757,3.546407175791799e-07,0.017016472045548733,1.3987491655598206e-06,0.0,0.0
,63,0.07382399480842651,2.1246465939706027e-07,0.007382301979550334,7.587238246742345e-07,0.0,0.0
,64,0.07783847144281025,2.2670919321038375e-07,0.007783772608945583,5.193519021418069e-07,0.0,0.0
,65,0.08267936708405614,2.3799482125941297e-07,0.008267857426544652,5.53850621258789e-07,0.0,0.0
,66,0.08466256747953593,2.4789480923992357e-07,0.0084661785105709,5.345200293049857e-07,0.0,0.0
,67,0.07857916826382279,2.3699127678078468e-07,0.007857837670017034,5.572664775854719e-07,0.0,0.0
,68,0.08648422149941325,2.4924851922847323e-07,0.00864834057400003,5.668352241627872e-07,0.0,0.0
,69,0.08633427194319665,2.510220063278723e-07,0.008633343488909304,5.860696848003499e-07,0.0,0.0
,70,0.07181427367031575,2.377530382496884e-07,0.007181346132711042,5.737513268400108e-07,0.0,0.0
,71,0.08933942980365828,2.657060814659218e-07,0.008933864040154732,5.200058851073664e-07,0.0,0.0
,72,0.0762609061319381,2.4367125937452274e-07,0.0076260097441263495,5.646100311196279e-07,0.0,0.0
,73,0.09907456910348628,2.864050014572683e-07,0.009907381284090206,4.6992524289635184e-07,0.0,0.0
,74,0.06305619384278544,2.284764487771318e-07,0.006305525137722725,7.125314419909045e-07,0.0,0.0
,75,0.08857134389545536,2.6789103727331567e-07,0.0088570643960702,4.3213759965965436e-07,0.0,0.0
,76,0.06283782743266783,2.3649602875097652e-07,0.0062837109020620115,4.795459435058547e-07,0.0,0.0
,77,0.07403494804399088,2.5808859204445867e-07,0.007403430512204068,3.8684811030975653e-07,0.0,0.0
,78,0.07658350517973304,2.599587955032234e-07,0.007658278326271101,4.6268608514310474e-07,0.0,0.0
,79,0.07128111179918051,2.5800831207511974e-07,0.0071280480205314235,3.732942546719187e-07,0.0,0.0
,80,0.08565811366541311,2.9014014948813835e-07,0.00856572846416384,5.374933070356747e-07,0.0,0.0
,81,0.06182573337573558,2.424038616433144e-07,0.006182498330017552,5.081698560616133e-07,0.0,0.0
,82,0.07316048180684448,2.597579719676446e-07,0.007315953930374235,6.817827555494205e-07,0.0,0.0
,83,0.05981411602930166,2.4167086307369523e-07,0.005981369482033188,1.8081643744949362e-07,0.0,0.0
,84,0.08650241952389479,2.7882808353751895e-07,0.008650134649360552,7.959138268631705e-07,0.0,0.0
,85,0.06271943921736238,2.468902536653661e-07,0.006271875200341128,4.3962873547798153e-07,0.0,0.0
,86,0.1383516384780205,3.4260595977109176e-07,0.013834160550700915,9.692921234147888e-06,0.0,0.0
,87,0.05968660837627738,2.236514773557019e-07,0.005968599797825078,3.870848082954126e-07,0.0,0.0
,88,0.055369771277922836,2.381499053405456e-07,0.005536615289964297,3.3823838166924246e-06,0.0,0.0
,89,0.054605491895864874,2.4441202203906445e-07,0.005460423150849436,1.0163471152679905e-06,0.0,0.0
,90,0.06699213290883335,3.003492896236359e-07,0.006698894200957353,2.889608014129408e-06,0.0,0.0
,91,0.057487786857382164,2.353563253804092e-07,0.0057485322200699325,2.2294174416259695e-06,0.0,0.0
,92,0.05227550921169964,2.603522458466401e-07,0.0052272715071639,2.5337756333598804e-06,0.0,0.0
,93,0.07827217022602781,2.615898254676452e-07,0.00782652816903635,6.622925387702594e-06,0.0,0.0
,94,0.05681920478346001,2.563527298482526e-07,0.005681821469415808,7.372653473325386e-07,0.0,0.0
,95,0.05120261835611018,2.632175243000301e-07,0.00511991822355867,3.1712465127498037e-06,0.0,0.0
,96,0.07584677624950928,3.1087544376529054e-07,0.007584037429062392,6.089439765162296e-06,0.0,0.0
,97,0.055154631944329256,2.5645384870071063e-07,0.005514983922963119,4.538384521595162e-06,0.0,0.0
,98,0.046261617437444044,2.806769714680524e-07,0.0046258913384277425,2.4247916182673633e-06,0.0,0.0
,99,0.04956806298490846,2.9276930660009083e-07,0.004956652639848471,1.2448922908703252e-06,0.0,0.0
,100,0.06990104805212467,3.259582678949435e-07,0.0069898286974057556,2.4372048640941558e-06,0.0,0.0
