step,epoch,step_loss,loss_data,loss_haslach,loss_pako,loss_bc_base,loss_bc_tip
,1,293.2886716037826,0.0013597832335653947,29.32845728660983,0.0027378218566445865,0.0,0.0
,2,2.281947603541139,1.1522092440827692e-05,0.22818247860935004,0.00011124582548291073,0.0,0.0
,3,0.03401389608638056,5.220874353994986e-07,0.003399958799358842,1.378548817228875e-05,0.0,0.0
,4,0.2731232993390131,6.052099624298535e-07,0.027311236980755212,1.0313360962754815e-05,0.0,0.0
,5,0.10229490897159849,3.2460010800150486e-07,0.010228745791886524,7.127615431272716e-06,0.0,0.0
,6,0.13059835567511982,3.1008764381112994e-07,0.0130592437705576,5.608896494777582e-06,0.0,0.0
,7,0.12815683631987668,2.8198722350936124e-07,0.012815198099423952,4.56985455002723e-06,0.0,0.0
,8,0.12400401072015484,2.643097997179211e-07,0.012399989880128573,3.8485919526465296e-06,0.0,0.0
,9,0.11991892010633592,2.5335176648155764e-07,0.011991538677848084,3.2817871749557525e-06,0.0,0.0
,10,0.11629225436191064,2.4678779862341573e-07,0.01162892094953051,2.7977997979178328e-06,0.0,0.0
,11,0.11316604517457109,2.429264933745401e-07,0.011316342930504425,2.3698422597817625e-06,0.0,0.0
,12,0.11111305902654067,2.4151098102720427e-07,0.011111083145355779,1.988354500213063e-06,0.0,0.0
,13,0.1143856483954005,2.477541598011612e-07,0.011438374649515026,1.6569200670346617e-06,0.0,0.0
,14,0.11998008393857162,2.5760158578691516e-07,0.011997843292192556,1.391989637511415e-06,0.0,0.0
,15,0.10927031738567167,2.4302646222551517e-07,0.010926888012472774,1.1897638833602287e-06,0.0,0.0
,16,0.10862952226772904,2.442627410559339e-07,0.010862821101327427,1.0671606847267867e-06,0.0,0.0
,17,0.10297680620104074,2.4230975580685766e-07,0.010297558670863509,9.770321121038705e-07,0.0,0.0
,18,0.10199286847840995,2.485863173085079e-07,0.01019916970457416,9.201489349663916e-07,0.0,0.0
,19,0.08540235074760857,2.389620198961495e-07,0.008540123455641152,8.761248076183392e-07,0.0,0.0
,20,0.1310328108255635,2.7887636803392015e-07,0.01310316549413983,8.775317623133106e-07,0.0,0.0
,21,0.08084042319861737,2.0901712270759988e-07,0.008083932853928033,8.855081720327007e-07,0.0,0.0
,22,0.08213461897143844,2.130910945030706e-07,0.008213352708990254,8.776498992091319e-07,0.0,0.0
,23,0.08404515122674638,2.1576751207508238e-07,0.008404404298744339,8.907627670140527e-07,0.0,0.0
,24,0.11729069919219455,2.7198945881323764e-07,0.011728941209618426,1.0174273327834272e-06,0.0,0.0
,25,0.08512486916354504,2.1408601114991654e-07,0.008512369483617216,9.575095009495272e-07,0.0,0.0
,26,0.11432263485170552,2.5339015087944004e-07,0.011432143840811477,9.402075987452463e-07,0.0,0.0
,27,0.0888608792652667,2.1431793679305144e-07,0.008885971212303048,9.535457573406347e-07,0.0,0.0
