epoch,step_end,step_loss,loss_data,loss_haslach,loss_pako,loss_ic,loss_bc_base,loss_bc_tip
1,1,3.4141440391540527,0.0475122407078743,0.1307711899280548,0.2846609055995941,0.0944904163479805,0.10036469995975494,0.10026486217975616
2,2,1.193771243095398,0.02250504307448864,0.154473215341568,0.06056433543562889,0.04216538369655609,0.030971111729741096,0.02248636819422245
3,4,0.4585634171962738,0.010894382372498512,0.09152507781982422,0.06468365341424942,0.018465343862771988,0.0039479974657297134,0.006732690613716841
4,5,0.3612537980079651,0.008645473048090935,0.04952334612607956,0.06162269413471222,0.012860095128417015,0.0066741351038217545,0.0046119992621243
5,7,0.47314760088920593,0.008860807865858078,0.041695743799209595,0.04731364920735359,0.014537455514073372,0.017542051151394844,0.005448233801871538
6,8,0.5403978824615479,0.008816900663077831,0.043264470994472504,0.033914219588041306,0.017308413982391357,0.022312268614768982,0.0058195446617901325
7,10,0.5102897882461548,0.008667348884046078,0.0412532240152359,0.023026958107948303,0.01969771832227707,0.018690014258027077,0.005346492864191532
8,11,0.4445503354072571,0.009445684030652046,0.03454064205288887,0.01914195343852043,0.02194308117032051,0.011755665764212608,0.004443456884473562
9,12,0.3957574963569641,0.011066042818129063,0.027314767241477966,0.02305588871240616,0.023903395980596542,0.005526104476302862,0.004002578556537628
10,14,0.3830987215042114,0.012703318148851395,0.025996576994657516,0.03177845850586891,0.024796832352876663,0.002060695318505168,0.004404508043080568
11,15,0.38613656163215637,0.013334781862795353,0.03111187554895878,0.03910791501402855,0.023865263909101486,0.0013515172759070992,0.005041418597102165
12,17,0.382608026266098,0.01256017480045557,0.04000402241945267,0.04092070087790489,0.020974475890398026,0.001945779426023364,0.005992060527205467
13,18,0.3459552228450775,0.01052094716578722,0.04393365606665611,0.03589420020580292,0.01675582304596901,0.002523306291550398,0.006281513255089521
14,20,0.29463809728622437,0.007972093299031258,0.041643694043159485,0.028281591832637787,0.012238063849508762,0.0026600814890116453,0.006775928661227226
15,21,0.23193597793579102,0.005477565340697765,0.03400284796953201,0.020017173141241074,0.008442115969955921,0.0022982407826930285,0.006503481883555651
16,22,0.18592406809329987,0.003602085867896676,0.026198986917734146,0.014480614103376865,0.00599996792152524,0.0018886564066633582,0.006275613326579332
17,24,0.1790415644645691,0.002550509525462985,0.022079478949308395,0.013250631280243397,0.005004442296922207,0.0017180987633764744,0.007393552456051111
18,25,0.18694433569908142,0.0020814547315239906,0.02171442098915577,0.014530086889863014,0.005084944423288107,0.0017049768939614296,0.008071915246546268
19,27,0.22236835956573486,0.001945199561305344,0.02398625761270523,0.017903178930282593,0.005601167678833008,0.001698881620541215,0.010553323663771152
20,28,0.24427330493927002,0.001844314276240766,0.025730835273861885,0.02085721306502819,0.005999312736093998,0.0015397220849990845,0.012045059353113174
21,30,0.272172212600708,0.0016310916980728507,0.025600703433156013,0.023045221343636513,0.005962991155683994,0.0011706383666023612,0.015055892057716846
22,31,0.2724924683570862,0.001344867399893701,0.023210691288113594,0.02366100624203682,0.0055024526081979275,0.0007707431213930249,0.016154395416378975
23,32,0.26435357332229614,0.0010712472721934319,0.01986675336956978,0.023696647956967354,0.004791776649653912,0.0005083353607915342,0.01667178049683571
24,34,0.27008962631225586,0.0009392646024934947,0.016765771433711052,0.024828743189573288,0.004061201587319374,0.0005506842280738056,0.018143700435757637
25,35,0.25936782360076904,0.0009658505441620946,0.014280973933637142,0.026995845139026642,0.003512980416417122,0.0008092448697425425,0.017390290275216103
26,37,0.26651477813720703,0.0011971828062087297,0.012286148965358734,0.03208167105913162,0.0032199921552091837,0.0012161131016910076,0.01765887252986431
27,38,0.25918805599212646,0.0014692348195239902,0.010859087109565735,0.03824335336685181,0.003174013923853636,0.0014477443182840943,0.01623988151550293
28,40,0.26669567823410034,0.0018071018857881427,0.011027668602764606,0.04629790410399437,0.0032559006940573454,0.0015149634564295411,0.015985438600182533
29,41,0.25981706380844116,0.002002194756641984,0.012935186736285686,0.052206140011548996,0.003332966472953558,0.0012895162217319012,0.014644873328506947
30,42,0.2506704032421112,0.0020732907578349113,0.015936262905597687,0.055207349359989166,0.003273874055594206,0.0009511700482107699,0.013520306907594204
31,44,0.24663029611110687,0.002081665676087141,0.018664825707674026,0.05608413368463516,0.0030433430802077055,0.0006709980661980808,0.01326562650501728
32,45,0.23024246096611023,0.0019419589079916477,0.01997770182788372,0.05236796662211418,0.0027357852086424828,0.0004782402829732746,0.012381457723677158
33,47,0.22128647565841675,0.001835905364714563,0.020267756655812263,0.048919931054115295,0.0024718130007386208,0.00046604598173871636,0.012088429182767868
34,48,0.20807817578315735,0.0017053260235115886,0.020245732739567757,0.04421673342585564,0.002352063311263919,0.0005592424422502518,0.01127973198890686
35,50,0.20232215523719788,0.0016819104785099626,0.020481877028942108,0.042882781475782394,0.0023727398365736008,0.0007087594131007791,0.010646059177815914
36,51,0.19182470440864563,0.00166266318410635,0.020386748015880585,0.042021967470645905,0.0024585085920989513,0.0008195707923732698,0.009497253224253654
37,52,0.17935235798358917,0.0016756871482357383,0.01926054060459137,0.043080996721982956,0.0025087445974349976,0.0008512124186381698,0.008173556998372078
38,54,0.16689381003379822,0.0017382910009473562,0.01708153635263443,0.047223757952451706,0.002471445593982935,0.0007987788994796574,0.0068147978745400906
