epoch,start_step,step_loss,loss_data,loss_haslach,loss_pako,loss_ic,loss_bc_base,loss_bc_tip
1,0,2.7599503993988037,0.04851948842406273,0.10424347221851349,0.21624352037906647,0.12463909387588501,0.0732264518737793,0.04122883826494217
2,0,0.9774140119552612,0.01581718772649765,0.06337699294090271,0.06220583617687225,0.056124959141016006,0.009661614894866943,0.017814824357628822
3,0,0.526479184627533,0.008241207338869572,0.03677087277173996,0.039924122393131256,0.026985205709934235,0.010909592732787132,0.006259501911699772
4,0,0.36614084243774414,0.00455447705462575,0.025232266634702682,0.046166613698005676,0.01455746591091156,0.010269341990351677,0.004191942047327757
5,0,0.25230672955513,0.0020884841214865446,0.023026105016469955,0.035069648176431656,0.010101081803441048,0.0029758864548057318,0.0061352793127298355
6,0,0.17176270484924316,0.002457218011841178,0.01725759729743004,0.011010131798684597,0.00845803041011095,0.0015873592346906662,0.0040583861991763115
7,0,0.15427660942077637,0.0033825538121163845,0.011200617998838425,0.007835169322788715,0.007160722278058529,0.004443599842488766,0.0015815052902325988
8,0,0.14284946024417877,0.002958144759759307,0.00766116613522172,0.016165973618626595,0.006795696448534727,0.0037801633588969707,0.0010305587202310562
9,0,0.12698955833911896,0.0018269928405061364,0.0073557826690375805,0.02133169025182724,0.006848473567515612,0.0010815896093845367,0.0017174461390823126
10,0,0.11301068961620331,0.00124856096226722,0.009033361449837685,0.01714056357741356,0.006034982856363058,0.0005221605533733964,0.002001676708459854
11,0,0.09082537889480591,0.0010851607657968998,0.009977697394788265,0.009841005317866802,0.004368559457361698,0.0009988814126700163,0.001624710508622229
12,0,0.06196758151054382,0.001021278672851622,0.009085395373404026,0.007663733791559935,0.00273509556427598,0.0006541421171277761,0.0010304796742275357
13,0,0.048347387462854385,0.0012243558885529637,0.007568423170596361,0.007657770998775959,0.0020427138078957796,0.0005033984198234975,0.0006435713148675859
14,0,0.049096737056970596,0.001138760126195848,0.007824122905731201,0.006072290241718292,0.0020024776458740234,0.00035760863102041185,0.0010460701305419207
15,0,0.04642761871218681,0.0008736546733416617,0.007606734521687031,0.00433715945109725,0.0018388647586107254,0.0002196912537328899,0.00130245101172477
16,0,0.038825623691082,0.000727290112990886,0.006923145614564419,0.002525817137211561,0.0015299362130463123,0.00036216253647580743,0.0009728386066854
17,0,0.031640563160181046,0.0006075977580621839,0.006490387953817844,0.002408416010439396,0.0013449530815705657,0.00023378424521069974,0.0006346788140945137
18,0,0.029265286400914192,0.00037214436451904476,0.006326792296022177,0.003615590278059244,0.0011847121641039848,9.853969095274806e-05,0.0006118241581134498
19,0,0.02544424682855606,0.00029478821670636535,0.004657205194234848,0.003528648056089878,0.0008951948257163167,0.0002290883712703362,0.0005720772896893322
20,0,0.020463885739445686,0.000393659807741642,0.00373087078332901,0.003436184488236904,0.0007554373005405068,0.00015103899932000786,0.0003838409320451319
21,0,0.019002944231033325,0.0003553263086359948,0.0031528996769338846,0.0039759729988873005,0.0007605856517329812,0.00012439669808372855,0.00026689216610975564
22,0,0.018299328163266182,0.0002813496976159513,0.003730668220669031,0.00355666596442461,0.000710822525434196,0.00010157526412513107,0.00026066662394441664
23,0,0.0157534871250391,0.00029657999402843416,0.0033693923614919186,0.0022424189373850822,0.0005608744104392827,0.00016309178317897022,0.0002605434274300933
24,0,0.011599467135965824,0.0002766425895970315,0.002863129135221243,0.0010582286631688476,0.00047592606279067695,6.792689237045124e-05,0.00019629370945040137
25,0,0.012048187665641308,0.00023952026094775647,0.002844058210030198,0.001266029546968639,0.00044504570541903377,0.00019443544442765415,0.00013037679309491068
26,0,0.011598796583712101,0.0002542010333854705,0.0023159433621913195,0.0021405410952866077,0.00038575090002268553,0.00015319266822189093,0.0001498674973845482
27,0,0.009294469840824604,0.00025375158293172717,0.002145328326150775,0.0013889091787859797,0.00023405504180118442,0.00017001574451569468,0.0001465772365918383
28,0,0.00839043129235506,0.00012371809862088412,0.002822872018441558,0.000713383371476084,0.0002111585927195847,6.087242581997998e-05,0.0002010148309636861
29,0,0.00875395443290472,0.00011763159272959456,0.0027467471081763506,0.0008451250614598393,0.0002870091702789068,8.992842776933685e-05,0.00012750743189826608
30,0,0.00775860296562314,0.0001223177823703736,0.0020249742083251476,0.0014985506422817707,0.00025137822376564145,4.599632666213438e-05,0.00011390146391931921
31,0,0.006877974607050419,0.00010572217433946207,0.0010013219434767962,0.0010981016093865037,0.00017745824879966676,0.00015828893810976297,0.0001315356494160369
32,0,0.004679305478930473,8.128863555612043e-05,0.0011873984476551414,0.0005788297858089209,0.00012517553113866597,4.208036989439279e-05,0.00011592297232709825
33,0,0.006328839808702469,0.00013046104868408293,0.0009181049535982311,0.0006173281581141055,0.00019430535030551255,0.00012723004329018295,0.0001447591930627823
34,0,0.005623487755656242,0.00016715087986085564,0.0007127633434720337,0.0007131733000278473,0.0001944421383086592,3.384789306437597e-05,0.00017474997730460018
35,0,0.004589206539094448,0.00013439641043078154,0.0009298405493609607,0.0003709332668222487,0.00012805845472030342,9.578814933774993e-05,9.155702718999237e-05
36,0,0.003936165943741798,6.49755893391557e-05,0.0007625037105754018,0.00045312164002098143,0.00012435077223926783,5.5096486903494224e-05,8.610927034169436e-05
37,0,0.004705512430518866,6.520452734548599e-05,0.0005423484253697097,0.0007721384754404426,0.0001536634808871895,8.990420610643923e-05,8.901442197384313e-05
38,0,0.003563286503776908,4.438898031366989e-05,0.0007782558095641434,0.0006619364721700549,7.39948227419518e-05,6.113578274380416e-05,7.273989467648789e-05
39,0,0.00413587735965848,7.640817057108507e-05,0.0007122431416064501,0.0003761840343941003,0.00010636031947797164,8.447744767181575e-05,0.00010626643779687583
40,0,0.0032305861823260784,6.17534969933331e-05,0.0008552923682145774,0.00024448128533549607,7.248413021443412e-05,2.4118337023537606e-05,0.00011030341556761414
41,0,0.003258348908275366,5.8443620218895376e-05,0.0007485937094315886,0.000506556301843375,8.222732139984146e-05,3.419645508984104e-05,7.80517584644258e-05
42,0,0.0036018462851643562,8.43503003125079e-05,0.0006246669217944145,0.0004220126138534397,0.00012089073425158858,4.09889908041805e-05,8.520190749550238e-05
43,0,0.0026522469706833363,4.8334241000702605e-05,0.0008053750498220325,0.0002311585849383846,6.8464687501546e-05,2.6378036636742763e-05,6.189517443999648e-05
44,0,0.00225248234346509,3.3182877814397216e-05,0.0004489815328270197,0.00014988564362283796,6.054849291103892e-05,3.315258800284937e-05,6.834214582340792e-05
45,0,0.0020866594277322292,4.617724334821105e-05,0.0003844892489723861,0.00025339279090985656,6.330179166980088e-05,1.4029123121872544e-05,6.292908801697195e-05
46,0,0.002023265929892659,3.9606478821951896e-05,0.00032913387985900044,0.00035494205076247454,3.672023376566358e-05,4.033665027236566e-05,5.290147237246856e-05
47,0,0.0017568344483152032,2.8505131922429428e-05,0.00023748325475025922,0.000299858016660437,3.9825914427638054e-05,1.27169741972466e-05,6.655592005699873e-05
48,0,0.001544542028568685,2.6045447157230228e-05,0.00025644333800300956,0.0001924327516462654,3.871313310810365e-05,1.600927316758316e-05,5.2239640353946015e-05
49,0,0.0016030026599764824,2.9776021619909443e-05,0.00024695793399587274,0.0001374230778310448,4.1956558561651036e-05,2.122462865372654e-05,5.570336361415684e-05
50,0,0.0014873803593218327,2.589303403510712e-05,0.00020259828306734562,0.00012240634532645345,3.859759453916922e-05,1.9881499611074105e-05,5.516917008208111e-05
51,0,0.001441609114408493,2.511414459149819e-05,0.00017449012375436723,0.00020594237139448524,4.271719808457419e-05,1.304559100390179e-05,4.7843463107710704e-05
52,0,0.0015063383616507053,3.973882849095389e-05,0.00023938549566082656,0.0003019912983290851,3.795179509324953e-05,8.478995368932374e-06,4.609148163581267e-05
53,0,0.0016504545928910375,4.310550866648555e-05,0.00043148043914698064,0.00012138167949160561,3.500957973301411e-05,2.4357714210054837e-05,4.608140079653822e-05
54,0,0.002056451514363289,2.257697269669734e-05,0.0008747617830522358,0.00012391919153742492,3.1500429031439126e-05,1.775565033312887e-05,5.426326606539078e-05
55,0,0.0021836725063622,2.0371277059894055e-05,0.0006670889561064541,0.0001442561042495072,4.6522800403181463e-05,1.8333403204451315e-05,7.033943256828934e-05
56,0,0.001641839393414557,1.428175801265752e-05,0.0004396991862449795,0.00028175412444397807,2.5005952920764685e-05,2.3569340555695817e-05,4.2035142541863024e-05
57,0,0.001176202087663114,1.3875098375137895e-05,0.00036187266232445836,0.00011665665806503966,2.291642340424005e-05,6.952833700779593e-06,3.8510501326527447e-05
58,0,0.001062106341123581,1.875175439636223e-05,0.00019785409676842391,9.211685392074287e-05,2.353763375140261e-05,1.7352313079754822e-05,3.444841058808379e-05
