epoch,step_loss,loss_data,loss_haslach,loss_pako,loss_ic,loss_bc_base,loss_bc_tip
1,6.392114639282227,0.07363587617874146,0.17463447153568268,0.15185758471488953,0.23011720180511475,0.060914210975170135,0.3081672787666321
2,3.6654186248779297,0.04635198414325714,0.10068325698375702,0.05733970180153847,0.13504111766815186,0.026906512677669525,0.18415674567222595
3,2.139878034591675,0.027899248525500298,0.0716172307729721,0.0777728259563446,0.06779647618532181,0.008515562862157822,0.11994683742523193
4,1.3398497104644775,0.017490094527602196,0.06149596720933914,0.10419397056102753,0.02777303382754326,0.002839781576767564,0.08505414426326752
5,0.9731939435005188,0.013005191460251808,0.05287357419729233,0.10995389521121979,0.010809764266014099,0.0037853552494198084,0.06514100730419159
6,0.8502431511878967,0.011993332765996456,0.04823629558086395,0.09815895557403564,0.009936162270605564,0.006221879739314318,0.05302741751074791
7,0.837844729423523,0.01233874075114727,0.04909335821866989,0.07950010895729065,0.01726459339261055,0.007327769882977009,0.045098889619112015
8,0.8552711009979248,0.01272058766335249,0.05234019085764885,0.06292989104986191,0.026369161903858185,0.006706523708999157,0.03965235874056816
9,0.8683516979217529,0.012641952373087406,0.05495225265622139,0.05271577090024948,0.033537134528160095,0.005385553929954767,0.03588148579001427
10,0.8677351474761963,0.012093408964574337,0.055519949644804,0.04930168762803078,0.03740464150905609,0.004456183407455683,0.03322118520736694
11,0.8519949316978455,0.011230675503611565,0.05406096577644348,0.05171698331832886,0.03803963586688042,0.004315124824643135,0.03114386834204197
12,0.823089063167572,0.010230002924799919,0.051703110337257385,0.059097159653902054,0.03616446629166603,0.00468093529343605,0.02936047874391079
13,0.7856471538543701,0.009255842305719852,0.04996592178940773,0.0700727254152298,0.03264854848384857,0.005012385547161102,0.027974331751465797
14,0.7431725263595581,0.00844604056328535,0.049802131950855255,0.08116020262241364,0.02826555259525776,0.004900810308754444,0.0272100530564785
15,0.694665789604187,0.007882927544414997,0.050992608070373535,0.08716505020856857,0.023630671203136444,0.004252634011209011,0.02697921358048916
16,0.6380512714385986,0.00757244136184454,0.05247125029563904,0.08465729653835297,0.019196713343262672,0.0032499353401362896,0.02688838168978691
17,0.5761629343032837,0.007463816553354263,0.053241830319166183,0.07464911043643951,0.01525560300797224,0.0021876050159335136,0.0266376081854105
18,0.5169670581817627,0.0074876826256513596,0.05293796584010124,0.0615372508764267,0.011956557631492615,0.001325407880358398,0.02621845155954361
19,0.46879684925079346,0.007578480988740921,0.05185096338391304,0.050076674669981,0.009340984746813774,0.0008142957813106477,0.0257737897336483
20,0.43576326966285706,0.0076775806955993176,0.05068333074450493,0.0429987758398056,0.00737898051738739,0.000679060525726527,0.02538231573998928
21,0.4162859320640564,0.0077284155413508415,0.050156619399785995,0.04036951810121536,0.005997656844556332,0.0008324922528117895,0.024972990155220032
22,0.40483635663986206,0.007676465902477503,0.05062451213598251,0.04047866538167,0.005099614150822163,0.0011160916183143854,0.0243899654597044
23,0.39529407024383545,0.007480149623006582,0.05196017771959305,0.041350167244672775,0.004573730286210775,0.0013630262110382318,0.02351360023021698
24,0.38389915227890015,0.0071272533386945724,0.05382566899061203,0.041896529495716095,0.004303295165300369,0.0014617790002375841,0.022339899092912674
25,0.3703392744064331,0.006643959321081638,0.05604863166809082,0.04219726845622063,0.004175269976258278,0.001390042481943965,0.0209796279668808
26,0.3566518723964691,0.006087804213166237,0.058693476021289825,0.04298311471939087,0.004090184345841408,0.0012031315127387643,0.0195954330265522
27,0.34491193294525146,0.005527259781956673,0.06176477298140526,0.04480316489934921,0.003971171099692583,0.0009893638780340552,0.018321139737963676
28,0.33543699979782104,0.005019112955778837,0.06493634730577469,0.047434404492378235,0.0037727472372353077,0.0008230954990722239,0.017208870500326157
29,0.32674407958984375,0.004594507161527872,0.06763895601034164,0.049895815551280975,0.003488170215860009,0.0007397033041343093,0.01623360812664032
30,0.31697142124176025,0.0042574540711939335,0.06937480717897415,0.05102118104696274,0.003149092197418213,0.0007350263185799122,0.015347681008279324
31,0.3053707480430603,0.0039924439042806625,0.0699494332075119,0.05014616250991821,0.0028126505203545094,0.0007774685509502888,0.014538152143359184
32,0.29270970821380615,0.0037753169890493155,0.06951116770505905,0.047415927052497864,0.002539216075092554,0.0008231378742493689,0.013838376849889755
33,0.2805194854736328,0.003583177924156189,0.06844805926084518,0.04357556998729706,0.002369858557358384,0.0008314754813909531,0.01328993309289217
34,0.2699891924858093,0.003401379566639662,0.06720654666423798,0.03949791193008423,0.002312279073521495,0.000780415371991694,0.012895642779767513
35,0.261368066072464,0.0032267223577946424,0.06610697507858276,0.03580011427402496,0.002340247854590416,0.0006768199382349849,0.012606359086930752
36,0.25415730476379395,0.0030661372002214193,0.06525078415870667,0.032729651778936386,0.0024063154123723507,0.0005550877540372312,0.012349670752882957
37,0.2477036416530609,0.002930976450443268,0.06454584002494812,0.030274972319602966,0.002461558673530817,0.00045986773329786956,0.01207375805824995
38,0.24158835411071777,0.002829237375408411,0.0637843906879425,0.028338592499494553,0.0024725135881453753,0.00041947030695155263,0.011771627701818943
39,0.23560598492622375,0.002760211704298854,0.06273459643125534,0.026838993653655052,0.002428135834634304,0.0004274840757716447,0.011471597477793694
