step,epoch,step_loss,loss_data,loss_haslach,loss_pako,loss_ic,loss_bc_base,loss_bc_tip
0,1,52.48591995239258,0.0002801408991217613,5.23765754699707,1.4418070577448816e-06,0,0.0,0.0010906655807048082
1,1,7883.4150390625,0.02737734466791153,788.249755859375,9.457789929001592e-06,0,0.0,0.008902483619749546
2,1,9165.8076171875,0.0011132325744256377,916.5596923828125,2.3189099920273293e-06,0,0.0,0.0021028765477240086
3,1,1671.7138671875,0.003380941692739725,167.1367950439453,3.993137909219513e-07,0,0.0,0.0034247874282300472
4,1,713.5968627929688,0.0003077301662415266,71.34627532958984,2.0272279925848125e-06,0,0.0,0.0013378439471125603
5,1,101.24784088134766,0.0004215777153149247,10.105522155761719,9.443229487260396e-07,0,0.0,0.0019220063695684075
6,1,94.7928237915039,0.0006344117573462427,9.462846755981445,1.1568996427513412e-07,0,0.0,0.0016373014077544212
7,1,46.56047821044922,0.00012143742060288787,4.643942832946777,2.546437372075161e-07,0,0.0,0.001209275797009468
8,1,38.946876525878906,0.0006053998949937522,3.8857483863830566,8.137704554656011e-08,0,0.0,0.0008878841763362288
9,1,19.026819229125977,0.00021367041335906833,1.891676902770996,5.897357624462529e-08,0,0.0,0.0010983636602759361
10,1,11.41046142578125,0.00047717089182697237,1.1298952102661133,3.2226363799736646e-08,0,0.0,0.0011103261495009065
11,1,8.375528335571289,0.00024387790472246706,0.8232530355453491,2.862026704519849e-08,0,0.0,0.0014275333378463984
12,1,5.949333190917969,0.00040792609797790647,0.5786524415016174,2.2191391835235663e-08,0,0.0,0.0016240099212154746
13,1,4.336142539978027,0.00026643212186172605,0.41106706857681274,3.425971684123397e-08,0,0.0,0.0022520534694194794
14,1,4.046374797821045,0.0003754730278160423,0.3775310218334198,4.554318167038218e-08,0,0.0,0.0027068923227488995
15,1,2.8168435096740723,0.00028613911126740277,0.2453446239233017,6.36253929542363e-08,0,0.0,0.0036311117000877857
16,1,3.0656561851501465,0.00035124123678542674,0.2637087404727936,7.87846943239856e-08,0,0.0,0.004282176494598389
17,1,2.3911828994750977,0.00030080851865932345,0.184145987033844,7.84809301990208e-08,0,0.0,0.005494222044944763
18,1,2.697556495666504,0.0003169549163430929,0.20646363496780396,9.296633152189315e-08,0,0.0,0.006326033268123865
19,1,2.6583645343780518,0.0003210086142644286,0.18730485439300537,6.849853662060923e-08,0,0.0,0.007849948480725288
20,1,3.1026504039764404,0.00026534294011071324,0.22339190542697906,1.1169429825486077e-07,0,0.0,0.008684658445417881
21,1,3.5344347953796387,0.00034303413121961057,0.25054746866226196,7.42702113143423e-08,0,0.0,0.010286171920597553
22,1,3.310751438140869,0.0002414522459730506,0.21925972402095795,1.4609894094519404e-07,0,0.0,0.011179125867784023
23,1,3.5575222969055176,0.00033793109469115734,0.22969965636730194,1.3790887010145525e-07,0,0.0,0.012601874768733978
24,1,3.106222152709961,0.0002371378941461444,0.17666000127792358,2.4402407916568336e-07,0,0.0,0.013393848203122616
25,1,3.360182285308838,0.0003295199712738395,0.1922326236963272,3.0308967780001694e-07,0,0.0,0.014375262893736362
26,1,3.0175259113311768,0.00023292424157261848,0.15455257892608643,4.837098686039099e-07,0,0.0,0.014717667363584042
27,1,3.2196240425109863,0.0003216048644389957,0.17202231287956238,6.206448119883134e-07,0,0.0,0.014990787953138351
28,1,2.87127685546875,0.00022859063756186515,0.141129270195961,9.204715070154634e-07,0,0.0,0.014597545377910137
29,1,3.035609722137451,0.0003155454760417342,0.16417615115642548,1.1390020517865196e-06,0,0.0,0.013935315422713757
30,1,2.5943846702575684,0.00022493148571811616,0.13335908949375153,1.6752017018006882e-06,0,0.0,0.01260567270219326
31,1,2.7320120334625244,0.0003116719308309257,0.16370126605033875,2.10162306757411e-06,0,0.0,0.010946854948997498
32,1,2.220717191696167,0.00022089737467467785,0.13446485996246338,3.3393271223758347e-06,0,0.0,0.008758444339036942
33,1,2.3431174755096436,0.0003090846003033221,0.17016881704330444,4.655940756492782e-06,0,0.0,0.0064111556857824326
34,1,1.8805434703826904,0.00021466735051944852,0.14831870794296265,7.727277079538908e-06,0,0.0,0.003971339203417301
35,1,2.1102919578552246,0.0003079005691688508,0.19145315885543823,1.1490786164358724e-05,0,0.0,0.001954409759491682
36,1,1.7280551195144653,0.00020849198335781693,0.1671302616596222,1.7277532606385648e-05,0,0.0,0.0005652679246850312
37,1,2.183720350265503,0.0003077836299780756,0.2179851084947586,2.3394877644022927e-05,0,0.0,3.538096643751487e-05
38,1,1.7370704412460327,0.00020646450866479427,0.1724538654088974,2.8174097678856924e-05,0,0.0,0.0001229714252986014
39,1,2.1350533962249756,0.00030349945882335305,0.2084510326385498,3.126437877654098e-05,0,0.0,0.0005020840908400714
40,1,1.639419436454773,0.00020634298562072217,0.15776246786117554,2.850661621778272e-05,0,0.0,0.0006155993905849755
41,1,1.8071316480636597,0.0002943590225186199,0.17371203005313873,2.62169251072919e-05,0,0.0,0.0006969078094698489
42,1,1.4349032640457153,0.0002051587653113529,0.1402272880077362,1.8955470295622945e-05,0,0.0,0.0003240620135329664
43,1,1.6302975416183472,0.00028462085174396634,0.1603265106678009,1.6095636965474114e-05,0,0.0,0.00026731714024208486
44,1,1.3038982152938843,0.0002070992486551404,0.13014742732048035,1.0953140190395061e-05,0,0.0,2.2058433387428522e-05
