step,epoch,step_loss,loss_data,loss_haslach,loss_pako,loss_ic,loss_bc_base,loss_bc_tip
0,1,3.170778274536133,0.0058416579850018024,0.014682753942906857,2.984310867759632e-06,0,0.004801726434379816,0.02970089018344879
1,1,1.8075647354125977,0.007231486961245537,0.1545260101556778,8.3266504589119e-06,0,0.008932506665587425,0.0016573972534388304
2,1,3.5751376152038574,0.002537814434617758,0.17052634060382843,1.5526799188592122e-06,0,0.0027750369627028704,0.018395844846963882
3,1,0.30957770347595215,0.005628823768347502,0.022004427388310432,9.616765055397991e-07,0,0.005082270130515099,0.00033080935827456415
4,1,1.6052106618881226,0.008380971848964691,0.06538495421409607,9.217893648383324e-07,0,0.008082950487732887,0.008621498011052608
5,1,0.37255558371543884,0.005890169646590948,0.019072499126195908,4.701907130311156e-07,0,0.0059833223931491375,0.001161067164503038
6,1,0.2625432312488556,0.00231540878303349,0.001975399674847722,1.3513764542949502e-06,0,0.0023255308624356985,0.0021721716038882732
7,1,0.12530750036239624,0.0008552356157451868,0.0017655168194323778,1.7071499769372167e-06,0,0.0008574639214202762,0.00098220759537071
8,1,0.03890734165906906,0.0005440954118967056,0.0026917150244116783,1.1407246347516775e-06,0,0.0005679734167642891,5.7652239775052294e-05
9,1,0.21521992981433868,0.0003465397749096155,0.018415628001093864,7.066041121106537e-07,0,0.00036421581171453,0.00027074242825619876
10,1,0.10749045014381409,0.0004465923993848264,0.009616992436349392,1.2806380027541309e-06,0,0.00045711328857578337,6.301512621575966e-05
11,1,0.07523274421691895,0.0006331221084110439,0.002678227610886097,8.181879138646764e-07,0,0.0006414833478629589,0.00041401691851206124
12,1,0.029104478657245636,0.00016261775454040617,0.00022598321083933115,4.436708707089565e-07,0,0.00016642827540636063,0.0002501730341464281
13,1,0.03340013325214386,0.00010421429760754108,0.0030545780900865793,1.1707152225426398e-07,0,0.00011376244219718501,1.6123953173519112e-05
14,1,0.14382649958133698,0.00022783628082834184,0.008206461556255817,4.81658901207993e-07,0,0.00023919045634102076,0.000591416610404849
15,1,0.02879234217107296,0.00029288779478520155,0.00045940864947624505,9.828713700699154e-07,0,0.00031498385942541063,0.0002075454540317878
16,1,0.06722071766853333,0.0004110901500098407,0.0008443339611403644,7.627881473126763e-07,0,0.0004322034656070173,0.0005404349067248404
17,1,0.038296010345220566,0.00034447110374458134,0.00015850708587095141,8.836457823235833e-07,0,0.00036471980274654925,0.00032718386501073837
18,1,0.05442166328430176,0.00017341187049169093,0.00028179879882372916,1.381384436172084e-06,0,0.00018679587810765952,0.0004956092452630401
19,1,0.02304808981716633,0.0001806671207305044,0.0002283525827806443,1.4432874877456925e-06,0,0.00018778996309265494,0.0001870455453172326
20,1,0.055631957948207855,8.750961569603533e-05,0.00030432792846113443,1.5420830550283426e-06,0,8.725925727048889e-05,0.0005162703455425799
21,1,0.014950834214687347,0.00017058211960829794,0.00012228814011905342,1.7445797766413307e-06,0,0.00015509584045503289,0.00012004667951259762
22,1,0.1465233564376831,0.0007088016718626022,1.7013500837492757e-05,2.071261860692175e-06,0,0.0006793388747610152,0.0013884896179661155
23,1,0.1345149129629135,0.0009028560016304255,5.1525701564969495e-05,2.1185726382100256e-06,0,0.0008708551176823676,0.0012438612757250667
24,1,0.02133762836456299,0.0005941829294897616,0.0008159938151948154,1.927594894368667e-06,0,0.0005657474393956363,6.924103945493698e-05
25,1,0.04154277220368385,0.00012199693446746096,0.00039341981755569577,1.5065490970300743e-06,0,0.00011296755110379308,0.00036355393240228295
26,1,0.010987945832312107,2.943155323009705e-06,3.797881072387099e-05,1.559096517667058e-06,0,2.1884941361349775e-06,0.0001058177076629363
27,1,0.020958203822374344,0.00021829816978424788,0.0008262401097454131,1.3306947721503093e-06,0,0.0002294739242643118,0.00010181434481637552
28,1,0.020640835165977478,0.00024212778953369707,0.0012713057221844792,1.3826394251736929e-06,0,0.0002555921673774719,5.128344855620526e-05
29,1,0.13357631862163544,0.00024170437245629728,0.003765026107430458,1.0763480986497598e-06,0,0.00025463674683123827,0.0009313690825365484
