epoch,step_loss,loss_data,loss_haslach,loss_pako,loss_ic,loss_bc_base,loss_bc_tip
1,2.0445363521575928,0.006762433331459761,0.22984880208969116,0.09931797534227371,0.0,0.0,0.17086070775985718
2,1.2639307975769043,0.006962478160858154,0.12143422663211823,0.013959983363747597,0.0,0.0,0.11215740442276001
3,0.974349856376648,0.007753437850624323,0.08111744374036789,0.026821983978152275,0.0,0.0,0.08586569875478745
4,0.8482421636581421,0.008121741004288197,0.07739555090665817,0.04286772385239601,0.0,0.0,0.07198571413755417
5,0.7687349319458008,0.007898107171058655,0.08096335083246231,0.04877922683954239,0.0,0.0,0.06310942023992538
6,0.6998443603515625,0.007238189224153757,0.08355030417442322,0.04742284119129181,0.0,0.0,0.05616329610347748
7,0.6326975226402283,0.006319673266261816,0.0834783986210823,0.04354429617524147,0.0,0.0,0.049935515969991684
8,0.5695950984954834,0.005296420305967331,0.08053074777126312,0.041039180010557175,0.0,0.0,0.04427287355065346
9,0.5181556344032288,0.0043043880723416805,0.07482770830392838,0.04233535751700401,0.0,0.0,0.039668817073106766
10,0.4841432571411133,0.0034636668860912323,0.06676218658685684,0.04732035472989082,0.0,0.0,0.03665970638394356
11,0.46550923585891724,0.002878303173929453,0.05818956345319748,0.05287563428282738,0.0,0.0,0.03515657037496567
12,0.4518837332725525,0.0026202218141406775,0.05276108160614967,0.05462135002017021,0.0,0.0,0.034188106656074524
13,0.4318714141845703,0.0026758145540952682,0.05278536304831505,0.05090204253792763,0.0,0.0,0.03255081921815872
14,0.4042319357395172,0.0029541878029704094,0.057381439954042435,0.044848065823316574,0.0,0.0,0.02990482561290264
15,0.37719058990478516,0.0033539847936481237,0.06451689451932907,0.04117567837238312,0.0,0.0,0.026814403012394905
16,0.3587590456008911,0.003782605519518256,0.07235785573720932,0.042533352971076965,0.0,0.0,0.02400852181017399
17,0.34756410121917725,0.0041379304602742195,0.07952394336462021,0.04773246869444847,0.0,0.0,0.021616976708173752
18,0.3343545198440552,0.0043335226364433765,0.08527270704507828,0.05315355956554413,0.0,0.0,0.019159473478794098
19,0.315293550491333,0.0043512978591024876,0.0895850881934166,0.057036515325307846,0.0,0.0,0.016432063654065132
20,0.29836374521255493,0.004241898190230131,0.09303616732358932,0.06126862391829491,0.0,0.0,0.013981705531477928
21,0.29154109954833984,0.004081647843122482,0.09613419324159622,0.06738067418336868,0.0,0.0,0.012394459918141365
22,0.2887573540210724,0.003930368926376104,0.09872925281524658,0.07212726771831512,0.0,0.0,0.011397045105695724
