epoch,start_step,step_loss,loss_data,loss_haslach,loss_pako,loss_ic,loss_bc_base,loss_bc_tip
1,0,0.04287039116024971,3.829803245025687e-05,0.038219671696424484,0.001120345783419907,0.0,0.0,0.0003492073155939579
2,0,0.03524167835712433,2.9782788260490634e-05,0.03185740485787392,0.000613622774835676,0.0,0.0,0.0002740865747909993
3,0,0.018630851060152054,1.065967353497399e-05,0.01579231210052967,0.00043233466567471623,0.0,0.0,0.00023955435608513653
4,0,0.010812090709805489,4.520758920989465e-06,0.008390477858483791,0.0003464985347818583,0.0,0.0,0.0002070593909593299
5,0,0.011933302506804466,4.4701614569930825e-06,0.009998717345297337,0.0002768983249552548,0.0,0.0,0.0001653216895647347
6,0,0.011645467951893806,3.4580727970023872e-06,0.010214224457740784,0.00021177521557547152,0.0,0.0,0.00012160099140601233
7,0,0.0105182696133852,3.301774313513306e-06,0.009459279477596283,0.00016053290164563805,0.0,0.0,8.951556083047763e-05
8,0,0.007394731044769287,4.185102625342552e-06,0.0065377140417695045,0.0001292988599743694,0.0,0.0,7.235335215227678e-05
9,0,0.0052692168392241,4.938933670928236e-06,0.004503926262259483,0.00011348022235324606,0.0,0.0,6.468714127549902e-05
10,0,0.0061334483325481415,4.717611773230601e-06,0.00542494747787714,0.00010342054883949459,0.0,0.0,6.00362618570216e-05
11,0,0.0065861535258591175,3.283962314526434e-06,0.005932581145316362,9.441206930205226e-05,0.0,0.0,5.558767225011252e-05
12,0,0.0044240220449864864,1.5010539300419623e-06,0.0038211909122765064,8.636275015305728e-05,0.0,0.0,5.149672506377101e-05
13,0,0.0023322133347392082,7.909218311397126e-07,0.0017663061153143644,8.02904469310306e-05,0.0,0.0,4.848257958656177e-05
14,0,0.0027213420253247023,1.6565838905080454e-06,0.0021747974678874016,7.687981269555166e-05,0.0,0.0,4.680081474361941e-05
15,0,0.00408061221241951,3.1117019716475625e-06,0.003539663041010499,7.611070031998679e-05,0.0,0.0,4.617267768480815e-05
16,0,0.003983430098742247,3.897974693245487e-06,0.0034410266671329737,7.70998522057198e-05,0.0,0.0,4.614055796992034e-05
17,0,0.002808729885146022,3.7577067359961802e-06,0.0022629485465586185,7.874710718169808e-05,0.0,0.0,4.6327659219969064e-05
18,0,0.0022315920796245337,3.1230570129991975e-06,0.001684261835180223,8.029515447560698e-05,0.0,0.0,4.639121107175015e-05
19,0,0.002467384561896324,2.343003870919347e-06,0.001923569361679256,8.146325126290321e-05,0.0,0.0,4.6000899601494893e-05
20,0,0.0025833514519035816,1.5508176147704944e-06,0.002050351584330201,8.23011141619645e-05,0.0,0.0,4.4914777390658855e-05
21,0,0.0022555128671228886,8.748216941967257e-07,0.0017416640184819698,8.272526611108333e-05,0.0,0.0,4.3024880142183974e-05
22,0,0.001820594072341919,4.2411011236254126e-07,0.0013339454308152199,8.205218910006806e-05,0.0,0.0,4.0417227864963934e-05
23,0,0.0014811500441282988,1.925294697002755e-07,0.0010278697591274977,7.896625902503729e-05,0.0,0.0,3.7412148230941966e-05
24,0,0.001294631278142333,1.226745496296644e-07,0.0008779046474955976,7.209517934825271e-05,0.0,0.0,3.445086986175738e-05
25,0,0.001333559863269329,1.6807781832994806e-07,0.0009538333397358656,6.0952916101086885e-05,0.0,0.0,3.1860538001637906e-05
26,0,0.0014208529610186815,2.4192542014134233e-07,0.0010765023762360215,4.6760771510889754e-05,0.0,0.0,2.973479058709927e-05
27,0,0.001239512232132256,2.4575166435170104e-07,0.000926082138903439,3.250426016165875e-05,0.0,0.0,2.806800875987392e-05
28,0,0.0009025759063661098,1.9325135269809834e-07,0.0006113497074693441,2.1710244254791178e-05,0.0,0.0,2.6932268156087957e-05
29,0,0.0008579028071835637,1.7975565924643888e-07,0.000577082100789994,1.6443302229163237e-05,0.0,0.0,2.6419760615681298e-05
30,0,0.0011193788377568126,2.11400475791379e-07,0.0008386836852878332,1.60301206051372e-05,0.0,0.0,2.6445368348504417e-05
31,0,0.0011896842624992132,1.9394560979435482e-07,0.0009043595637194812,1.7794549421523698e-05,0.0,0.0,2.6733621780294925e-05
32,0,0.0008753378060646355,1.0615155332516224e-07,0.000585672096349299,1.9251721823820844e-05,0.0,0.0,2.7030780984205194e-05
33,0,0.0005589142674580216,4.3155552020834875e-08,0.00026702307513915,1.9510172933223657e-05,0.0,0.0,2.723378383961972e-05
34,0,0.0005434650229290128,6.828179266449297e-08,0.00025136207113973796,1.885480378405191e-05,0.0,0.0,2.7317984859109856e-05
35,0,0.0006710421876050532,1.4358920452650636e-07,0.00038049957947805524,1.7701533579383977e-05,0.0,0.0,2.7269748898106627e-05
36,0,0.0007064418168738484,2.20595381961175e-07,0.0004188452148810029,1.6189940652111545e-05,0.0,0.0,2.711860361159779e-05
37,0,0.0006577204912900925,2.9044127813904197e-07,0.0003736828512046486,1.4394417121366132e-05,0.0,0.0,2.6935278583550826e-05
38,0,0.0006122236372902989,3.329518563077727e-07,0.00033187924418598413,1.2542688637040555e-05,0.0,0.0,2.6746871299110353e-05
39,0,0.0005847996799275279,3.116345794751396e-07,0.00030843092827126384,1.1011434253305197e-05,0.0,0.0,2.6504567358642817e-05
40,0,0.0005754875601269305,2.318842291515466e-07,0.0003034323744941503,1.019678165903315e-05,0.0,0.0,2.6162651920458302e-05
41,0,0.0005628226208500564,1.4086627686538122e-07,0.00029489598819054663,1.032716318150051e-05,0.0,0.0,2.5745859602466226e-05
42,0,0.0004905712557956576,7.551488323542799e-08,0.0002259996981592849,1.129832526203245e-05,0.0,0.0,2.5319770429632626e-05
43,0,0.00039373256731778383,4.9746546437745565e-08,0.0001316681009484455,1.2681022781180218e-05,0.0,0.0,2.493336796760559e-05
44,0,0.00039006699807941914,6.217661052687617e-08,0.00013000023318454623,1.3922744983574376e-05,0.0,0.0,2.4608181774965487e-05
45,0,0.0004673527437262237,8.507311122230021e-08,0.0002091340720653534,1.4581033610738814e-05,0.0,0.0,2.435525857436005e-05
46,0,0.0004811856779269874,8.209796220626231e-08,0.00022486239322461188,1.4445893611991778e-05,0.0,0.0,2.417952782707289e-05
47,0,0.0004036204481963068,5.432738348076782e-08,0.00014928450400475413,1.3542625310947187e-05,0.0,0.0,2.407389911240898e-05
48,0,0.00035272707464173436,3.2959746931737754e-08,0.00010040301276603714,1.207674722536467e-05,0.0,0.0,2.4021437639021315e-05
49,0,0.00037239925586618483,2.8520169337298285e-08,0.00012195254385005683,1.0362941793573555e-05,0.0,0.0,2.4005525119719096e-05
50,0,0.0003898831782862544,2.6244038053846452e-08,0.00014098924293648452,8.731777597859036e-06,0.0,0.0,2.401359233772382e-05
51,0,0.00036918726982548833,2.1911928271833858e-08,0.00012145446089562029,7.4155486800009385e-06,0.0,0.0,2.4029532141867094e-05
52,0,0.00034163263626396656,2.709246338383764e-08,9.479682921664789e-05,6.473575012932997e-06,0.0,0.0,2.4033512090682052e-05
53,0,0.00032769411336630583,4.927550634192812e-08,8.161993173416704e-05,5.818265435664216e-06,0.0,0.0,2.4020662749535404e-05
54,0,0.00032871379517018795,8.512454741094189e-08,8.31987417768687e-05,5.317672730598133e-06,0.0,0.0,2.4011225832509808e-05
