epoch,step_end,step_loss,loss_data,loss_haslach,loss_pako,loss_ic,loss_bc_base,loss_bc_tip
1,1,0.11833623051643372,8.850773838275927e-07,0.11829406768083572,8.766723112785257e-06,0.0,0.0,3.2504108276043553e-06
2,2,0.025694644078612328,1.6035330645536305e-06,0.025562355294823647,2.5219495000783354e-05,0.0,0.0,1.0546426892688032e-05
3,4,0.04542424902319908,4.19660318584647e-06,0.0449189767241478,8.113095100270584e-05,0.0,0.0,4.1994324419647455e-05
4,5,0.044834233820438385,4.08832102039014e-06,0.04404575377702713,0.0001172177871922031,0.0,0.0,6.671783921774477e-05
5,7,0.022141797468066216,3.549138682501507e-06,0.020396267995238304,0.00022178093786351383,0.0,0.0,0.00015201988571789116
6,8,0.008572950959205627,2.5256783828808693e-06,0.006240243557840586,0.0002896879450418055,0.0,0.0,0.0002040494146058336
7,10,0.015588551759719849,5.5343466556223575e-06,0.011347764171659946,0.0004558145010378212,0.0,0.0,0.0003779438848141581
8,11,0.02507781609892845,1.0022360584116541e-05,0.01992073468863964,0.0005482783308252692,0.0,0.0,0.00045987797784619033
9,12,0.02595517784357071,1.284901281906059e-05,0.01990681327879429,0.0006400124402716756,0.0,0.0,0.0005395502666942775
10,14,0.023284029215574265,1.4354584891407285e-05,0.014062718488276005,0.0008488927269354463,0.0,0.0,0.000835806189570576
11,15,0.01975448802113533,1.2162638995505404e-05,0.009395902045071125,0.0009328018059022725,0.0,0.0,0.0009413622319698334
12,17,0.024469345808029175,1.0934593774436507e-05,0.009577912278473377,0.0011509800096973777,0.0,0.0,0.0013729518977925181
13,18,0.02791786566376686,8.962231731857173e-06,0.011535066179931164,0.0012386445887386799,0.0,0.0,0.0015135194407775998
14,20,0.03367608040571213,8.209505722334143e-06,0.01130726933479309,0.0015334797790274024,0.0,0.0,0.002082712249830365
15,21,0.032207589596509933,7.117759196262341e-06,0.008171607740223408,0.0017224933253601193,0.0,0.0,0.0022306370083242655
16,22,0.030916264280676842,7.501107120333472e-06,0.005356510169804096,0.0019535329192876816,0.0,0.0,0.0023598719853907824
