step,epoch,step_loss,loss_data,loss_haslach,loss_pako,loss_ic,loss_bc_base,loss_bc_tip
0,1,0.9664654731750488,0.006400458514690399,0.02428208850324154,1.0583498806226999e-06,0,0.006904312409460545,0.00648199999704957
1,1,1.5072827339172363,0.00686056399717927,0.1323065459728241,5.51994298803038e-06,0,0.006584995426237583,0.0011150119826197624
2,1,3.471888303756714,0.003571314737200737,0.3169161379337311,4.322446784499334e-06,0,0.003881101729348302,0.002603405388072133
3,1,3.2774834632873535,0.0018768066074699163,0.32489368319511414,3.9814420915718074e-07,0,0.0018125454662367702,8.543746662326157e-05
4,1,0.8102567791938782,0.0005464729620143771,0.07073132693767548,2.237044327557669e-08,0,0.0004974803887307644,0.000974222260992974
5,1,0.14404231309890747,0.0010279107373207808,0.004661113489419222,3.100642942399645e-08,0,0.0009936029091477394,0.0008646720089018345
6,1,0.020741350948810577,0.00029968819580972195,6.255313201108947e-05,2.9143077284743413e-08,0,0.0002802759117912501,0.00017013342585414648
7,1,0.1239757090806961,2.9473364975274308e-06,8.073484059423208e-05,3.6722333618399716e-08,0,1.2827478030885686e-06,0.0012315254425629973
8,1,0.09234640747308731,2.426658284093719e-05,3.760401887120679e-05,2.8567887611075093e-08,0,3.306417056592181e-05,0.000916154298465699
9,1,0.002605987247079611,4.2704534280346707e-05,2.2515387172461487e-05,2.419043099166629e-08,0,5.520442209672183e-05,1.786060238373466e-05
10,1,0.11946611851453781,1.4824642676103394e-05,2.2856991108710645e-06,4.8270369035208205e-08,0,2.1338684746297076e-05,0.0011921500554308295
11,1,0.03431568294763565,0.00011997975525446236,1.6322001101798378e-06,9.8426504280269e-08,0,0.00010814209963427857,0.0003309786261525005
12,1,0.16165360808372498,0.0010920101776719093,1.1962178177782334e-05,1.6552374404454895e-07,0,0.0010696975514292717,0.0014974484220147133
13,1,0.24503396451473236,0.0006898335996083915,2.0288161977077834e-05,1.2400175819493597e-07,0,0.0006762564298696816,0.002373785711824894
14,1,0.15206488966941833,4.7203127905959263e-05,2.9238301067380235e-05,7.343551544636284e-08,0,4.397974771563895e-05,0.0015128543600440025
15,1,0.046453192830085754,0.00031999521888792515,3.0647588573629037e-05,3.9643950344725454e-08,0,0.00032803480280563235,0.0004254633386153728
16,1,0.056062664836645126,0.001254306873306632,2.870439857360907e-05,3.027327011295711e-08,0,0.0012716306373476982,0.00041804974898695946
17,1,0.06360240280628204,0.0009350883192382753,2.410613524261862e-05,2.7529592827590932e-08,0,0.0009498295257799327,0.0005292792920954525
18,1,0.06334131211042404,0.0003058302972931415,1.7013766409945674e-05,2.285061739826233e-08,0,0.0003135487495455891,0.0005972983781248331
19,1,0.06523816287517548,6.401856808224693e-05,1.5218054613796994e-05,1.8951492819496707e-08,0,6.66471678414382e-05,0.0006435547256842256
20,1,0.0450485497713089,5.048327238910133e-06,1.911106301122345e-05,1.723107523332601e-08,0,4.140874807490036e-06,0.0004481096693780273
21,1,0.05207649990916252,8.015253115445375e-05,2.7809961466118693e-05,1.7501751159443302e-08,0,7.634014036739245e-05,0.000509548292029649
22,1,0.02733379602432251,0.00035877892514690757,3.2108440791489556e-05,1.8113661681695703e-08,0,0.0003525456122588366,0.0002312845754204318
23,1,0.05971050262451172,0.0005336875910870731,2.9168177206884138e-05,1.8483405028746347e-08,0,0.0005265512154437602,0.000536196050234139
24,1,0.09509871900081635,0.0003460812440607697,2.8321568606770597e-05,2.1130198035734793e-08,0,0.00033953803358599544,0.0009107402293011546
25,1,0.02046528272330761,7.511180592700839e-05,3.3647062082309276e-05,2.5531379677090627e-08,0,7.112475577741861e-05,0.00019342427549418062
26,1,0.09632870554924011,5.175519982003607e-05,4.8081983550218865e-05,3.186968555723979e-08,0,5.4428768635261804e-05,0.0009525181376375258
27,1,0.1536889225244522,0.0003056962741538882,5.894834976061247e-05,3.905249101876507e-08,0,0.00031459308229386806,0.0014964777510613203
28,1,0.02693086862564087,0.0004216996894683689,5.5725962738506496e-05,4.746077664208315e-08,0,0.0004335435514803976,0.00021616427693516016
29,1,0.1265418976545334,0.00013954182213637978,4.5692737330682576e-05,5.766725763578506e-08,0,0.0001474975870223716,0.0012447040062397718
30,1,0.22918729484081268,1.6045058146119118e-05,5.8910452935379e-05,6.958772047482853e-08,0,1.9999466530862264e-05,0.0022838208824396133
31,1,0.16017141938209534,1.3430642866296694e-05,7.406974327750504e-05,8.15738587789383e-08,0,1.3018421668675728e-05,0.0015928702196106315
32,1,0.08597102016210556,6.391460192389786e-05,7.844523497624323e-05,8.982774346577571e-08,0,5.891017644898966e-05,0.0008453346090391278
33,1,0.05346158519387245,9.319122909801081e-05,6.409076013369486e-05,8.88105731178257e-08,0,8.51088116178289e-05,0.0005187630886211991
34,1,0.09804676473140717,7.210083276731893e-05,5.269395114737563e-05,8.493729097835967e-08,0,6.418277189368382e-05,0.0009680581279098988
35,1,0.15258878469467163,3.467463830020279e-05,5.434287231764756e-05,8.831997888592014e-08,0,2.8704955184366554e-05,0.0015172354178503156
36,1,0.04399637132883072,9.529081580694765e-06,6.26830878900364e-05,9.751723695217152e-08,0,5.8017335504700895e-06,0.00043301895493641496
37,1,0.07563778012990952,5.2870063882437535e-06,6.963234773138538e-05,1.1425435531009498e-07,0,3.926474164472893e-06,0.0007489678682759404
38,1,0.13346777856349945,1.7244248738279566e-05,5.782723746960983e-05,1.3125129783020384e-07,0,1.904899181681685e-05,0.001326816389337182
39,1,0.08583355695009232,2.991361361637246e-05,3.5374345316085964e-05,1.4811233484124386e-07,0,3.463316534180194e-05,0.0008510341867804527
40,1,0.07177823781967163,3.332933192723431e-05,6.115356427471852e-06,1.5924700846881024e-07,0,3.845609535346739e-05,0.0007129902951419353
41,1,0.013817084953188896,2.5751729481271468e-05,3.7152501590753673e-06,1.4620101751461334e-07,0,2.8210450182086788e-05,0.00013471930287778378
42,1,0.12902003526687622,7.831557923054788e-06,2.779930582619272e-06,1.2421813266882964e-07,0,4.860184617427876e-06,0.0012893567327409983
43,1,0.0927722156047821,3.146085873595439e-05,1.5333289411501028e-05,1.2052610998125601e-07,0,2.559802305768244e-05,0.0009233132004737854
44,1,0.016732530668377876,7.987331628100947e-05,2.16643948078854e-05,1.414199459759402e-07,0,7.432805432472378e-05,0.00015692591841798276
45,1,0.018314048647880554,4.6858003770466894e-05,2.796093212964479e-05,1.418648025719449e-07,0,4.402323975227773e-05,0.0001754720724420622
46,1,0.06486088037490845,1.4243782970879693e-06,4.535844254860422e-06,1.0296686525634868e-07,0,2.3242773750098422e-07,0.0006481166929006577
47,1,0.04316277801990509,1.7287758964812383e-05,2.6860616344492882e-05,9.631501285412014e-08,0,1.821210935304407e-05,0.00042694664443843067
48,1,0.0324542261660099,2.93320063065039e-05,1.3010197108087596e-05,1.24050856697977e-07,0,3.1911313271848485e-05,0.0003197555779479444
49,1,0.02722052112221718,3.092147744609974e-05,6.306601426331326e-05,1.097874289257561e-07,0,3.172961078234948e-05,0.0002624153275974095
50,1,0.048350512981414795,2.0664423573180102e-05,7.481630746042356e-05,6.588816603425585e-08,0,1.8997587176272646e-05,0.00047391647240146995
51,1,0.04423893988132477,7.826698492863216e-06,4.0522427298128605e-06,5.603731878522922e-08,0,4.901434749626787e-06,0.00044141520629636943
52,1,0.01528558786958456,3.757363811018877e-05,6.427383050322533e-05,5.964282934201037e-08,0,3.4835993574233726e-05,0.00014256856229621917
53,1,0.01878311298787594,2.2701879061060026e-05,0.0014632646925747395,5.4021121798086824e-08,0,2.3835191313992254e-05,3.8893591408850625e-05
54,1,0.2976449429988861,5.421357400337001e-06,0.025798682123422623,3.872605702781584e-08,0,8.944814453570871e-07,0.0003964373318012804
