epoch,step_end,step_loss,loss_data,loss_haslach,loss_pako,loss_ic,loss_bc_base,loss_bc_tip
1,1,1.8211572170257568,0.017541324719786644,0.16279485821723938,0.3165806829929352,0.06453164666891098,0.0,0.06789238750934601
2,2,0.7012271881103516,0.009651334956288338,0.1316378116607666,0.07692424207925797,0.02694672718644142,0.0,0.02135465107858181
3,4,0.38282981514930725,0.005051271989941597,0.11366578936576843,0.07672302424907684,0.010394053533673286,0.0,0.0083449212834239
4,5,0.2655101716518402,0.003788139671087265,0.07139100879430771,0.05754181370139122,0.007348260376602411,0.0,0.005930660758167505
5,7,0.2510729432106018,0.004560588393360376,0.03436022251844406,0.03685973212122917,0.01070183701813221,0.0,0.006827404256910086
6,8,0.2621656060218811,0.005835292395204306,0.01591896079480648,0.023872090503573418,0.014846086502075195,0.0,0.006807840429246426
7,10,0.26888349652290344,0.0066590504720807076,0.009997301734983921,0.01927231252193451,0.017242221161723137,0.0,0.006053260527551174
8,11,0.2736347019672394,0.00680114421993494,0.011303180828690529,0.024629373103380203,0.017537685111165047,0.0,0.0055524143390357494
9,12,0.2709844410419464,0.0063115376979112625,0.01669921912252903,0.03150396794080734,0.016165785491466522,0.0,0.00548118632286787
10,14,0.25496411323547363,0.005447198636829853,0.021825365722179413,0.03304422274231911,0.013872587122023106,0.0,0.005592145025730133
11,15,0.22735969722270966,0.004626733250916004,0.02420656569302082,0.029379887506365776,0.011452759616076946,0.0,0.005461891181766987
12,17,0.20320674777030945,0.004108435939997435,0.024252204224467278,0.023753369227051735,0.009402059018611908,0.0,0.005707215052098036
13,18,0.18043556809425354,0.003932964522391558,0.022938407957553864,0.01807747222483158,0.007882917299866676,0.0,0.005665755830705166
14,20,0.1733543872833252,0.003906885627657175,0.02174481749534607,0.013999602757394314,0.006771806627511978,0.0,0.0065985023975372314
15,21,0.16426020860671997,0.0037942889612168074,0.020443905144929886,0.010800831951200962,0.005892027635127306,0.0,0.007030090782791376
16,22,0.16060273349285126,0.003483057487756014,0.019299110397696495,0.009228886105120182,0.005145234987139702,0.0,0.0077139330096542835
17,24,0.17599552869796753,0.0029883780516684055,0.018766963854432106,0.009886587038636208,0.0045249974355101585,0.0,0.009910361841320992
18,25,0.1817997843027115,0.0024050858337432146,0.017750464379787445,0.011070811189711094,0.00405191769823432,0.0,0.011005423963069916
19,27,0.20352476835250854,0.0018371172482147813,0.017407191917300224,0.013148159720003605,0.0037176087498664856,0.0,0.013395621441304684
20,28,0.20668213069438934,0.0013709085760638118,0.016951069235801697,0.014369943179190159,0.0035015875473618507,0.0,0.013897433876991272
21,30,0.22167471051216125,0.0010254940716549754,0.017612634226679802,0.01602708362042904,0.0033824313431978226,0.0,0.015318518504500389
22,31,0.21742336452007294,0.0008059737156145275,0.01891402155160904,0.017630716785788536,0.003377158660441637,0.0,0.014630106277763844
23,32,0.21345588564872742,0.0006708888104185462,0.021097494289278984,0.02058497630059719,0.0034760921262204647,0.0,0.013634160161018372
24,34,0.22488051652908325,0.000577757426071912,0.023301515728235245,0.025957128033041954,0.003631291212514043,0.0,0.01387312076985836
25,35,0.22322134673595428,0.0005220119492150843,0.023964334279298782,0.030991610139608383,0.0038006308022886515,0.0,0.012973708100616932
26,37,0.233399897813797,0.0005124183371663094,0.022514289245009422,0.03629343584179878,0.0038965181447565556,0.0,0.013511456549167633
