epoch,step_loss,loss_data,loss_haslach,loss_pako,loss_ic,loss_bc_base,loss_bc_tip
1,5.559617519378662,0.03036772459745407,0.2054242193698883,0.24827465415000916,0.14332830905914307,0.0,0.3642267882823944
2,2.9270176887512207,0.02301611565053463,0.136469766497612,0.08161573857069016,0.0856572762131691,0.0,0.18293432891368866
3,1.7962868213653564,0.018920456990599632,0.10926410555839539,0.10490453988313675,0.044928934425115585,0.0,0.11139083653688431
4,1.2466857433319092,0.016591953113675117,0.08225203305482864,0.11228999495506287,0.02086668089032173,0.0,0.08268849551677704
5,0.985611081123352,0.01523928064852953,0.05938725173473358,0.09181569516658783,0.010441787540912628,0.0,0.07147510349750519
6,0.9033316373825073,0.014464699663221836,0.04593390226364136,0.06561464816331863,0.009714679792523384,0.0,0.06801716238260269
7,0.9303157329559326,0.01398378610610962,0.04046764597296715,0.05030854418873787,0.014480339363217354,0.0,0.06807523965835571
8,0.9973551630973816,0.013494280166924,0.03997320309281349,0.047655411064624786,0.02089376002550125,0.0,0.068729467689991
9,1.034645438194275,0.012702692300081253,0.041313573718070984,0.04872836917638779,0.026120256632566452,0.0,0.06706982105970383
10,0.9980370998382568,0.011446848511695862,0.04223735257983208,0.04605427384376526,0.02870640531182289,0.0,0.06112346053123474
11,0.8917551040649414,0.009773201309144497,0.04204759746789932,0.04278264567255974,0.02848353236913681,0.0,0.05123162642121315
12,0.7627415657043457,0.007903973571956158,0.041301384568214417,0.05166049674153328,0.02609037421643734,0.0,0.0400971956551075
13,0.6705161333084106,0.006138436496257782,0.04066741093993187,0.08485454320907593,0.02246004156768322,0.0,0.03142552822828293
14,0.6403769254684448,0.004746532533317804,0.03932446241378784,0.1367991715669632,0.018485460430383682,0.0,0.0274652186781168
15,0.6336096525192261,0.0038583152927458286,0.03569893166422844,0.17712967097759247,0.014851460233330727,0.0,0.026840809732675552
16,0.5985660552978516,0.003428494092077017,0.031420595943927765,0.17959345877170563,0.011934619396924973,0.0,0.02647772990167141
17,0.5341024398803711,0.003339573508128524,0.03057318553328514,0.14848236739635468,0.009817815385758877,0.0,0.02535291574895382
18,0.4727892279624939,0.0034807308111339808,0.03459729626774788,0.10627494752407074,0.008401069790124893,0.0,0.024442555382847786
19,0.4377427101135254,0.0037496001459658146,0.04117850586771965,0.0715208351612091,0.007487901020795107,0.0,0.024641476571559906
20,0.4281364381313324,0.004045889247208834,0.04756655916571617,0.05031199008226395,0.00684719905257225,0.0,0.025774002075195312
21,0.4291517734527588,0.00428410992026329,0.05251479893922806,0.03982992470264435,0.006279115565121174,0.0,0.02697317861020565
22,0.4261873662471771,0.004410943947732449,0.05599096417427063,0.03488911688327789,0.005666670389473438,0.0,0.027422964572906494
23,0.41228562593460083,0.0044099087826907635,0.05849491432309151,0.031901270151138306,0.004986648913472891,0.0,0.026761306449770927
24,0.3883476257324219,0.004293121863156557,0.06061909347772598,0.02972632274031639,0.004283664748072624,0.0,0.02508724480867386
25,0.35997194051742554,0.0040882364846765995,0.06281790882349014,0.02890944480895996,0.003629431128501892,0.0,0.022786203771829605
